Date,Adj Close,Close,High,Low,Open,Volume
2020-09-21,4792.0400390625,4792.0400390625,4949.759765625,4779.2099609375,4949.759765625,128894100
2020-09-22,4772.83984375,4772.83984375,4827.0,4772.83984375,4809.56982421875,92909500
2020-09-23,4802.259765625,4802.259765625,4871.4501953125,4802.259765625,4824.169921875,86947200
2020-09-24,4762.6201171875,4762.6201171875,4806.830078125,4744.0400390625,4746.10009765625,97836800
2020-09-25,4729.66015625,4729.66015625,4758.0498046875,4666.259765625,4754.81005859375,96957900
2020-09-28,4843.27001953125,4843.27001953125,4849.97021484375,4788.18017578125,4806.14013671875,96864500
2020-09-29,4832.06982421875,4832.06982421875,4846.6298828125,4806.4501953125,4832.8701171875,73788000
2020-09-30,4803.43994140625,4803.43994140625,4854.02001953125,4782.68994140625,4793.18994140625,98788900
2020-10-01,4824.0400390625,4824.0400390625,4871.830078125,4804.77001953125,4850.2001953125,90319600
2020-10-02,4824.8798828125,4824.8798828125,4824.8798828125,4757.22021484375,4769.43017578125,78027700
2020-10-05,4871.8701171875,4871.8701171875,4876.85986328125,4842.259765625,4863.6298828125,73984600
2020-10-06,4895.4599609375,4895.4599609375,4925.7099609375,4850.35986328125,4881.7998046875,88768400
2020-10-07,4882.0,4882.0,4915.6298828125,4865.259765625,4888.490234375,90531200
2020-10-08,4911.93994140625,4911.93994140625,4936.0400390625,4877.10009765625,4910.490234375,76900000
2020-10-09,4946.81005859375,4946.81005859375,4954.02001953125,4918.06005859375,4925.41015625,82326900
2020-10-12,4979.2900390625,4979.2900390625,4998.509765625,4944.0,4952.47021484375,74090900
2020-10-13,4947.60986328125,4947.60986328125,4976.580078125,4928.64013671875,4976.27978515625,81146200
2020-10-14,4941.66015625,4941.66015625,4965.31982421875,4928.43017578125,4956.68994140625,71558400
2020-10-15,4837.419921875,4837.419921875,4881.31005859375,4808.580078125,4873.02978515625,106038500
2020-10-16,4935.85986328125,4935.85986328125,4957.60009765625,4875.759765625,4904.10009765625,103413300
2020-10-19,4942.6201171875,4942.6201171875,4993.39013671875,4881.4599609375,4955.39013671875,44905900
2020-10-20,4929.27978515625,4929.27978515625,4968.60986328125,4914.490234375,4932.8701171875,89484700
2020-10-21,4853.9501953125,4853.9501953125,4945.330078125,4849.009765625,4945.330078125,77277800
2020-10-22,4851.3798828125,4851.3798828125,4873.89990234375,4783.64990234375,4830.43994140625,89673900
2020-10-23,4909.64013671875,4909.64013671875,4934.7099609375,4843.14013671875,4843.27978515625,80388100
2020-10-26,4816.1201171875,4816.1201171875,4896.47021484375,4814.990234375,4844.64013671875,0
2020-10-27,4730.66015625,4730.66015625,4818.97998046875,4723.7001953125,4818.97998046875,0
2020-10-28,4571.1201171875,4571.1201171875,4640.6298828125,4521.60986328125,4635.18994140625,0
2020-10-29,4569.669921875,4569.669921875,4606.72021484375,4512.56982421875,4571.1298828125,0
2020-10-30,4594.240234375,4594.240234375,4601.740234375,4519.3701171875,4519.3701171875,0
2020-11-02,4691.14013671875,4691.14013671875,4705.10986328125,4581.85986328125,4614.9501953125,0
2020-11-03,4805.60986328125,4805.60986328125,4812.2900390625,4730.22998046875,4743.85986328125,0
2020-11-04,4922.85009765625,4922.85009765625,4926.56005859375,4730.31005859375,4736.4599609375,0
2020-11-05,4983.990234375,4983.990234375,4998.18994140625,4942.18017578125,4956.02001953125,0
2020-11-06,4960.8798828125,4960.8798828125,4997.740234375,4915.240234375,4964.259765625,0
2020-11-09,5336.31982421875,5336.31982421875,5387.490234375,5021.330078125,5036.919921875,0
2020-11-10,5418.97021484375,5418.97021484375,5439.080078125,5327.22021484375,5351.31005859375,0
2020-11-11,5445.2099609375,5445.2099609375,5462.9501953125,5408.669921875,5433.66015625,0
2020-11-12,5362.56982421875,5362.56982421875,5421.39990234375,5348.6298828125,5394.3701171875,0
2020-11-13,5380.16015625,5380.16015625,5411.1201171875,5343.25,5343.31982421875,0
2020-11-16,5471.47998046875,5471.47998046875,5518.91015625,5402.31005859375,5430.56982421875,0
2020-11-17,5483.0,5483.0,5487.31005859375,5441.259765625,5468.2900390625,0
2020-11-18,5511.4501953125,5511.4501953125,5521.009765625,5452.1201171875,5468.169921875,0
2020-11-19,5474.66015625,5474.66015625,5490.18017578125,5449.4501953125,5458.02001953125,0
2020-11-20,5495.89013671875,5495.89013671875,5524.25,5461.39013671875,5463.990234375,0
2020-11-23,5492.14990234375,5492.14990234375,5555.830078125,5492.14990234375,5543.830078125,95986700
2020-11-24,5558.419921875,5558.419921875,5574.68994140625,5536.10986328125,5546.06982421875,0
2020-11-25,5571.2900390625,5571.2900390625,5589.77978515625,5545.009765625,5577.97021484375,0
2020-11-26,5566.7900390625,5566.7900390625,5592.77978515625,5559.72021484375,5589.3798828125,65753800
2020-11-27,5598.18017578125,5598.18017578125,5612.759765625,5556.6201171875,5563.0400390625,84633600
2020-11-30,5518.5498046875,5518.5498046875,5599.93994140625,5518.5498046875,5564.16015625,0
2020-12-01,5581.64013671875,5581.64013671875,5589.68017578125,5529.25,5542.4599609375,0
2020-12-02,5583.009765625,5583.009765625,5585.8701171875,5549.7900390625,5563.0498046875,0
2020-12-03,5574.35986328125,5574.35986328125,5584.10009765625,5546.2900390625,5581.52978515625,0
2020-12-04,5609.14990234375,5609.14990234375,5616.6201171875,5574.1201171875,5574.1201171875,0
2020-12-07,5573.3798828125,5573.3798828125,5595.830078125,5535.419921875,5594.5,86156600
2020-12-08,5560.669921875,5560.669921875,5574.56982421875,5521.8701171875,5553.7900390625,0
2020-12-09,5546.81982421875,5546.81982421875,5599.41015625,5545.93994140625,5590.18994140625,90861600
2020-12-10,5549.64990234375,5549.64990234375,5572.7998046875,5511.47998046875,5558.9599609375,0
2020-12-11,5507.5498046875,5507.5498046875,5532.81005859375,5466.56005859375,5528.14013671875,96872800
2020-12-14,5527.83984375,5527.83984375,5577.18017578125,5527.83984375,5547.2998046875,0
2020-12-15,5530.31005859375,5530.31005859375,5565.52001953125,5517.06005859375,5521.7900390625,0
2020-12-16,5547.68017578125,5547.68017578125,5589.759765625,5515.5,5551.4501953125,0
2020-12-17,5549.4599609375,5549.4599609375,5585.509765625,5547.58984375,5578.7900390625,0
2020-12-18,5527.83984375,5527.83984375,5581.9599609375,5519.169921875,5533.77978515625,173234900
2020-12-21,5393.33984375,5393.33984375,5422.10009765625,5306.580078125,5392.5498046875,122849400
2020-12-22,5466.85986328125,5466.85986328125,5477.8701171875,5411.14990234375,5411.14990234375,0
2020-12-23,5527.58984375,5527.58984375,5539.16015625,5472.02978515625,5472.14013671875,59208500
2020-12-24,5522.009765625,5522.009765625,5545.7099609375,5517.009765625,5542.490234375,0
2020-12-28,5588.3798828125,5588.3798828125,5601.0,5547.89990234375,5562.0400390625,44706900
2020-12-29,5611.7900390625,5611.7900390625,5625.52001953125,5603.740234375,5610.1298828125,0
2020-12-30,5599.41015625,5599.41015625,5625.60009765625,5594.10986328125,5603.72021484375,35280300
2020-12-31,5551.41015625,5551.41015625,5598.93017578125,5551.41015625,5573.2001953125,0
2021-01-04,5588.9599609375,5588.9599609375,5656.419921875,5567.97021484375,5614.0400390625,82741000
2021-01-05,5564.60009765625,5564.60009765625,5603.66015625,5530.47998046875,5561.60009765625,79263400
2021-01-06,5630.60009765625,5630.60009765625,5648.419921875,5553.39013671875,5601.009765625,116286300
2021-01-07,5669.85009765625,5669.85009765625,5689.27978515625,5629.490234375,5651.0400390625,91729600
2021-01-08,5706.8798828125,5706.8798828125,5721.89013671875,5676.14990234375,5711.580078125,87558400
2021-01-11,5662.43017578125,5662.43017578125,5704.08984375,5629.4599609375,5684.66015625,76382800
2021-01-12,5650.97021484375,5650.97021484375,5679.06005859375,5636.75,5672.2001953125,73935200
2021-01-13,5662.669921875,5662.669921875,5679.06982421875,5643.75,5648.9599609375,109764000
2021-01-14,5681.14013671875,5681.14013671875,5690.490234375,5656.75,5662.169921875,104615600
2021-01-15,5611.68994140625,5611.68994140625,5656.4501953125,5563.740234375,5648.7001953125,127619000
2021-01-18,5617.27001953125,5617.27001953125,5618.419921875,5584.58984375,5584.85009765625,62122300
2021-01-19,5598.60986328125,5598.60986328125,5655.22021484375,5592.2001953125,5647.75,89498100
2021-01-20,5628.43994140625,5628.43994140625,5646.06005859375,5602.490234375,5615.41015625,78552400
2021-01-21,5590.7900390625,5590.7900390625,5665.97998046875,5589.7998046875,5660.27001953125,87605000
2021-01-22,5559.56982421875,5559.56982421875,5573.7099609375,5511.43994140625,5568.8798828125,89454700
2021-01-25,5472.35986328125,5472.35986328125,5584.39990234375,5453.240234375,5579.72998046875,103153900
2021-01-26,5523.52001953125,5523.52001953125,5555.27978515625,5471.08984375,5473.25,84017800
2021-01-27,5459.6201171875,5459.6201171875,5545.4501953125,5401.43017578125,5517.52978515625,123358200
2021-01-28,5510.52001953125,5510.52001953125,5525.9501953125,5379.22021484375,5407.740234375,113180800
2021-01-29,5399.2099609375,5399.2099609375,5474.7998046875,5399.2099609375,5421.52978515625,109393800
2021-02-01,5461.68017578125,5461.68017578125,5481.669921875,5429.77978515625,5441.43017578125,75051100
2021-02-02,5563.10986328125,5563.10986328125,5574.77001953125,5509.240234375,5510.6201171875,92321700
2021-02-03,5563.0498046875,5563.0498046875,5626.41015625,5554.08984375,5610.58984375,81321400
2021-02-04,5608.5400390625,5608.5400390625,5613.9501953125,5566.580078125,5568.39013671875,84653400
2021-02-05,5659.259765625,5659.259765625,5673.02978515625,5627.83984375,5638.740234375,90026000
2021-02-08,5686.02978515625,5686.02978515625,5714.27978515625,5673.6298828125,5688.68017578125,75598300
2021-02-09,5691.5400390625,5691.5400390625,5703.52978515625,5674.43017578125,5703.52978515625,74734600
2021-02-10,5670.7998046875,5670.7998046875,5719.31982421875,5647.27978515625,5719.31982421875,80605800
2021-02-11,5669.81982421875,5669.81982421875,5692.0,5656.7998046875,5684.93994140625,85822100
2021-02-12,5703.669921875,5703.669921875,5705.02001953125,5627.990234375,5651.669921875,74872400
2021-02-15,5786.25,5786.25,5801.3798828125,5722.16015625,5732.2998046875,95598000
2021-02-16,5786.52978515625,5786.52978515625,5797.919921875,5768.9599609375,5796.43017578125,69738200
2021-02-17,5765.83984375,5765.83984375,5790.27001953125,5752.85009765625,5762.009765625,89772300
2021-02-18,5728.330078125,5728.330078125,5779.009765625,5720.580078125,5757.75,95205800
2021-02-19,5773.5498046875,5773.5498046875,5784.89990234375,5733.83984375,5737.18994140625,95515600
2021-02-22,5767.43994140625,5767.43994140625,5776.64013671875,5703.47998046875,5737.47021484375,83870900
2021-02-23,5779.83984375,5779.83984375,5804.89990234375,5721.919921875,5781.240234375,0
2021-02-24,5797.97998046875,5797.97998046875,5804.14013671875,5758.2998046875,5769.2099609375,83298700
2021-02-25,5783.89013671875,5783.89013671875,5834.35986328125,5783.89013671875,5824.72021484375,99039600
2021-02-26,5703.22021484375,5703.22021484375,5768.02978515625,5688.259765625,5715.68994140625,126426700
2021-03-01,5792.7900390625,5792.7900390625,5804.35009765625,5765.7998046875,5770.89013671875,83783600
2021-03-02,5809.72998046875,5809.72998046875,5835.740234375,5773.52001953125,5774.6201171875,78464500
2021-03-03,5830.06005859375,5830.06005859375,5871.43017578125,5788.66015625,5841.2001953125,91437400
2021-03-04,5830.64990234375,5830.64990234375,5844.68994140625,5797.669921875,5800.72998046875,96687500
2021-03-05,5782.64990234375,5782.64990234375,5837.5498046875,5755.60009765625,5794.47998046875,99553700
2021-03-08,5902.990234375,5902.990234375,5912.5,5799.0498046875,5822.919921875,0
2021-03-09,5924.97021484375,5924.97021484375,5937.81005859375,5895.330078125,5903.259765625,98009300
2021-03-10,5990.5498046875,5990.5498046875,5993.6298828125,5912.35009765625,5915.169921875,84108900
2021-03-11,6033.759765625,6033.759765625,6033.759765625,5995.41015625,6004.16015625,85660900
2021-03-12,6046.5498046875,6046.5498046875,6046.5498046875,6017.41015625,6030.6298828125,72235700
2021-03-15,6035.97021484375,6035.97021484375,6089.2001953125,6018.5498046875,6069.08984375,78751000
2021-03-16,6055.43017578125,6055.43017578125,6061.18994140625,6034.759765625,6050.39990234375,846600
2021-03-17,6054.81982421875,6054.81982421875,6062.35986328125,6037.25,6048.31005859375,806600
2021-03-18,6062.7900390625,6062.7900390625,6082.919921875,6044.31982421875,6076.2099609375,91171900
2021-03-19,5997.9599609375,5997.9599609375,6047.64990234375,5983.60986328125,6021.1298828125,212881400
2021-03-22,5968.47998046875,5968.47998046875,5987.22998046875,5943.7099609375,5960.85009765625,76067200
2021-03-23,5945.2998046875,5945.2998046875,5968.56005859375,5921.830078125,5943.31005859375,75656900
2021-03-24,5947.2900390625,5947.2900390625,5948.669921875,5890.5498046875,5901.64013671875,80552800
2021-03-25,5952.41015625,5952.41015625,5952.41015625,5886.0,5911.0400390625,73423600
2021-03-26,5988.81005859375,5988.81005859375,6002.9501953125,5962.4599609375,5979.22998046875,80680200
2021-03-29,6015.509765625,6015.509765625,6029.58984375,5985.35986328125,5995.0,67745900
2021-03-30,6088.0400390625,6088.0400390625,6095.080078125,6041.39013671875,6044.5400390625,76904000
2021-03-31,6067.22998046875,6067.22998046875,6097.740234375,6060.240234375,6085.02001953125,85387300
2021-04-01,6102.9599609375,6102.9599609375,6106.1201171875,6063.85986328125,6079.669921875,75221700
2021-04-06,6131.33984375,6131.33984375,6159.10009765625,6125.740234375,6155.22021484375,73632700
2021-04-07,6130.66015625,6130.66015625,6154.3798828125,6118.91015625,6137.6298828125,0
2021-04-08,6165.72021484375,6165.72021484375,6171.4501953125,6146.22021484375,6153.35986328125,66071200
2021-04-09,6169.41015625,6169.41015625,6188.47998046875,6161.419921875,6171.60009765625,65261400
